"Samples per sec. = 2000/2"
"DanB  test22  changed  data acq setup   0-5 Vdc   Annotate channels"
"5 active channel"
"Time","1  solid","2  mt","3  notch","4  mt","5  notch","6  solid","7  solid","8  mt"
.936, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
.944, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44272E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
.952, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
.960, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
.968, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
.976, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
.984, 1.64032E-01, 1.61209E-01, 1.43890E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
.992, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.000, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44272E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.008, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.016, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.024, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.032, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.040, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44272E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.048, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.056, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.064, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40915E-01, 1.47629E-01
1.072, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.080, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.088, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.096, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40915E-01, 1.47552E-01
1.104, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40915E-01, 1.47629E-01
1.112, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.120, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.128, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.136, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.144, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.152, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.160, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.168, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.176, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.184, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.192, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.200, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.208, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.216, 1.64032E-01, 1.61209E-01, 1.43890E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40915E-01, 1.47629E-01
1.224, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.232, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.240, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.248, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.256, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.264, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40915E-01, 1.47629E-01
1.272, 1.63956E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.280, 1.63956E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.288, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.296, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.304, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.312, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.320, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.328, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.336, 1.64032E-01, 1.61133E-01, 1.43890E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.344, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.352, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.360, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.368, 1.63956E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.376, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.384, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.392, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47629E-01
1.400, 1.64032E-01, 1.61209E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
1.408, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47629E-01
1.416, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47552E-01
1.424, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53885E-01, 1.40839E-01, 1.47552E-01
1.432, 1.64032E-01, 1.61133E-01, 1.43967E-01, 1.44348E-01, 1.52130E-01, 1.53961E-01, 1.40839E-01, 1.47552E-01
